tasks,labels
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",0
Appoint department heads or managers and assign or delegate responsibilities to them.,0
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",0
"Prepare budgets for approval, including those for funding or implementation of programs.",0
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",0
Implement corrective action plans to solve organizational or departmental problems.,0
"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",0
Establish departmental responsibilities and coordinate functions among departments and sites.,0
"Preside over or serve on boards of directors, management committees, or other governing boards.",0
"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",0
"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",0
Review reports submitted by staff members to recommend approval or to suggest changes.,0
"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",0
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",0
"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",0
"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",0
"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",0
Direct or conduct studies or research on issues affecting areas of responsibility.,0
"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",0
"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",0
Refer major policy matters to elected representatives for final decisions.,0
Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,0
Conduct or direct investigations or hearings to resolve complaints or violations of laws or testify at such hearings.,0
"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",0
Prepare bylaws approved by elected officials and ensure that bylaws are enforced.,0
"Serve as liaisons between organizations, shareholders, and outside organizations.",0
Attend and participate in meetings of municipal councils or council committees.,0
Represent organizations or promote their objectives at official functions or delegate representatives to do so.,0
Organize or approve promotional campaigns.,0
Nominate citizens to boards or commissions.,0
